name,description,instructor,rating,reviews,total_hours,num_of_lectures,difficulty,price,badge
Professional JavaScript,Learn the ins and outs of JavaScript in just 4 hours! Become a professional JavaScript programmer!,Fast & Easy Programming,5.0,2,4 total hours,103,All Levels,149000,-
Magento : Magento Certified Developer practice Tests 2021,best Practice Tests for Magento Developer & Front End Certified Developer Certification 2021,Nawel wawa,5.0,1,-,-,All Levels,149000,-
Building a REST API with Express,Take the power of information into your own hands by building a REST API that you can use for business or for fun!,Daniel Stern,5.0,1,1.5 total hours,14,Intermediate,149000,-
Drupal 8 Learning for Beginners - Drupal Masterclass,The Best Way to Learn Drupal 8 for Beginners. An essential step by step training course mastering Drupal from scratch,Ichsan Kurnia,5.0,1,4.5 total hours,67,Beginner,149000,-
Create Your Own React Live Web Chat Application Zero to Hero,Build React Real Time Chat Application From Beginners Level To Advance Level,Tech CodingCamp,5.0,2,6.5 total hours,27,All Levels,149000,-
NestJS - Building Real Project API From Scratch,Improve your NestJS skills with this series while developing an API for real application,Oleksandr Kocherhin,5.0,13,8 total hours,39,Intermediate,149000,-
Webflow For Beginners Part II: Progress Your Webflow Skills,"My second Webflow course focuses on creating common sections, elements and animations in Webflow aimed at beginners.",Sam Harrison,5.0,1,6 total hours,37,Beginner,149000,New
Vue js And Firebase Full Stack App,Learn The Most Demanding Skill,Modern Programmer,5.0,2,4.5 total hours,27,Beginner,149000,-
[2021] Svelte.js 3.41.0 The Complete Practice Tests SvelteJS,"Know and improve your SvelteJS skill level. Be confident and prepared to any Svelte JS interview, test or certification",Thierry Lechat,5.0,1,-,-,All Levels,149000,-
Vue.js custom Video Player from scratch!,"Learn how to build a professional, custom Video Player with zero struggle! Reveal the secrets of writing quality code!",Sanzhar Mirakhmedov,5.0,3,2.5 total hours,17,Beginner,149000,-
Beginner's Guide to building an E-commerce website,Build an online store with WordPress and Elementor,Margaret Savage,5.0,1,1 total hour,14,Beginner,149000,-
