name,description,instructor,rating,reviews,total_hours,num_of_lectures,difficulty,price,badge
Django 3 - Full Stack Websites with Python Web Development,"Build 3 stunning websites, learn Back and Front End Web Development, deploy your site with HTML5, CSS3 and Bootstrap 4",Nick Walter,4.6,3503,8.5 total hours,78,Beginner,149000,-
How FlexBox and CSS Grid replaces CSS Floats? with Example,CSS Floats are dead! It's time you check this video and learn about FlexBox (the present) and CSS Grid (the future).,Abhilash PIllai,4.6,36,1 total hour,7,All Levels,149000,-
MEVN Project - Vue and Node CMS and Shopping Cart,"Build a comprehensive custom application using the MEVN stack, Vue js 2, Node js, Express and MongoDB",Fast & Easy Programming,4.6,27,4.5 total hours,44,All Levels,149000,-
Build a User Authentication Web App With Python and Django,"Learn To Create a User Authentication System in Django to Register Users, Log In, Log Out, Edit Profiles, and More!",John Elder,4.6,450,2.5 total hours,32,Beginner,149000,-
The Ultimate HTML5 Elements & CSS3 Properties BOOTCAMP,The Most Comprehensive Course That Covers All the Essentials of HTML5 & CSS3 with 200+ Examples & Challenges,Muslim Helalee,4.6,231,38.5 total hours,332,All Levels,149000,-
Get Started With Django,Learn the fundamentals of the Django web framework,Anthony Herbert,4.6,23,9 total hours,99,Beginner,149000,-
Learning CSS,Learn how to use Cascading Style Sheets to create beautiful webpages.,Vigoma Trainings,4.6,11,3 total hours,33,All Levels,149000,-
Wordpress Theme + Wordpress Plugin Development For Beginners,Introduction to Wordpress Theme Development and Wordpress Plugins,The Apps Firm,4.6,57,4 total hours,20,Beginner,149000,-
ES6 Javascript: The Complete Developer's Guide,ES6 Javascript Development from scratch. Get practice with live examples and learn exactly where to apply ES6 features.,Stephen Grider,4.6,10204,6.5 total hours,69,Beginner,149000,-
"Learn How To Design A Website Via Software, Wordpress, Ecom",Short Course From Zero To Hero On How to Create A Website Professionally,Michael Fahim,4.6,7,6 total hours,46,Beginner,149000,-
"50 Projects In 50 Days - HTML, CSS & JavaScript","Sharpen your skills by building 50 quick, unique & fun mini projects","Brad Traversy, Florin Pop",4.6,5080,18.5 total hours,164,Beginner,149000,-
Server side React apps with Next JS ( 2021 edition),Learn server side rendering using the code you love,Coding Revolution,4.6,7,35 total hours,183,All Levels,149000,-
"Master Electron: Desktop Apps with HTML, JavaScript & CSS","The Complete Electron course for learning to build Cross Platform Desktop Apps using HTML, JavaScript & CSS",Ray Viljoen,4.6,2918,8 total hours,61,All Levels,149000,Bestseller
"React: The Complete Guide (Hooks, Context, Redux & 5 Apps)","Learn Reactjs, React Routing, Hooks, Context, Redux and Get Hired As React.js Developer In 10M+ Job Opportunities",Bassir Jafarzadeh,4.6,43,34.5 total hours,154,All Levels,149000,-
"Angular (Full App) with Angular Material, Angularfire & NgRx","Use Angular, Angular Material, Angularfire (+ Firebase with Firestore) and NgRx to build a real Angular App","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.6,6602,11.5 total hours,140,All Levels,149000,Bestseller
Website from Scratch using Bootstrap 4,Apply Bootstrap 4 class to build a modern website from scratch,Laurence Svekis,4.6,30,2 total hours,30,Beginner,149000,-
"Angular & Django Full Stack: web, backend API, mobile apps","Angular 6 web app, python Django 2 RESTfull API, Cross platform iOS and Android mobile with NativeScript",Krystian Czekalski,4.6,562,20.5 total hours,131,Beginner,149000,-
PHP Programming For Everyone,Learn PHP Programming For Web Development The Fast And Easy Way!,John Elder,4.6,35,2.5 total hours,27,Beginner,149000,-
The Perfect Nginx Server - Ubuntu Edition,The Absolute Beginners Course to Setting Up Multiple Blazingly Fast WordPress Sites Using Nginx and Ubuntu 20.04,Andrew Eaton,4.6,394,10 total hours,99,Beginner,149000,Bestseller
Learn Complete Web Development From Scratch,"Master web technologies like PHP, MYSQL, JSON,XML,AJAX,CSS3 and Yii framework","Eduonix Learning Solutions, Eduonix-Tech .",4.6,177,12 total hours,47,All Levels,149000,-
Build Python Django Real Project: Django Web Development,Step By Step Develop Real Django Project with PostgreSQL & Deploy on Heroku. Most Powerful Way of Learning Django,Rathan Kumar,4.6,265,10 total hours,80,All Levels,149000,-
Django 2.0 from Zero to Hero and Deploy on Heroku and Amazon,Learn how to develop modern web sites and web applications with Django 2.0 deploying on Heroku and static files on AWS,Gregory Pacheco,4.6,60,6 total hours,30,Intermediate,149000,-
"Power BI Masterclass 8 - Python, Finance, and advanced DAX",How to become a data analyst and learn Power BI fast. Power BI data scientist python Power BI Data Science,Dan We,4.6,211,3.5 total hours,21,Beginner,149000,-
The Ultimate 2021 Fullstack Web Development Bootcamp,"Become a fullstack web developer (and get a job) by taking this ONE course, even if you've never coded before.","Kane Ezki, Kalob Taulien, Radek Wilk",4.6,1090,40 total hours,559,All Levels,149000,Bestseller
"Asynchronous JavaScript: Promises, Callbacks, Async Await","Become an expert in Asynchronous JavaScript: Promises, Callbacks, Async Await, Event Loop, etc.",Viktor Pyskunov,4.6,1340,3 total hours,42,All Levels,149000,-
WordPress Gutenberg Editor - Master The Basics & Beyond,Zero Geek-Speak Training For The WordPress Gutenberg (Block) Editor.,Steve Dougherty,4.6,7,3.5 total hours,42,All Levels,149000,-
Front End Developer - HTML CSS Bootstrap JavaScript React,Learn Front End Web Development Skills from scratch,Bluelime Learning Solutions,4.6,5,15.5 total hours,163,Beginner,149000,New
Make a Google search engine clone: JavaScript PHP and MySQL,"Learn JavaScript, PHP and MySQL by building your own search engine from scratch! A COMPLETE walkthrough!",Reece Kenney,4.6,466,6 total hours,61,All Levels,149000,-
Modern WebSockets Application Development with Java EE,Your Complete Guide to WebSockets Application Development on the Java EE Platform,Luqman Saeed,4.6,46,4 total hours,75,All Levels,149000,Highest rated
Building Applications with Blazor in .NET Core 3.1/.NET 5.0,Getting Started,Johan Smarius,4.6,38,2.5 total hours,48,Beginner,149000,-
Azure Active Directory for .NET Developers (AD and B2C),Learn how to authenticate API and .NET Web Application with Azure Active Directory and B2C (external logins),Bhrugen Patel,4.6,27,3.5 total hours,57,Intermediate,149000,Bestseller
HTML5 Mastery—Build Superior Websites & Mobile Apps NEW 2021,"Easily build 25 websites and apps (including Virtual Reality, iPhone and Android apps) with HTML5, CSS, & JavaScript",Maximiliano Firtman,4.6,1148,14.5 total hours,167,Beginner,149000,-
Struts 2 Framework for Beginners,Learn how to build Java MVC applications using Struts 2 Framework.,Abhay Redkar,4.6,952,8 total hours,99,Beginner,149000,Bestseller
Create Beautiful Websites with CSS3,"Code for the mobile web, become a true CSS3 ninja!","Pablo Farias Navarro, Ashley Menhennett, Zenva Academy",4.6,6,1 total hour,18,Beginner,149000,-
"Web Application Development using Redis, Express, and Socket","Get started with building robust, dynamic, real-time applications using the powerful frameworks of Node.js",Packt Publishing,4.6,88,6 total hours,66,Beginner,149000,Highest rated
React js. From the beginning. w/ Redux and React Router,"Learn React from the beginning! Including React Router, redux, hooks, context, front-end Stripe & a big project",Robert Bunch,4.6,472,26 total hours,211,Beginner,149000,-
Bootstrap 4 From Scratch With 5 Projects,Master Bootstrap 4 and build 5 real world themes while learning HTML5 semantics & CSS3,Brad Traversy,4.6,14814,11.5 total hours,74,All Levels,149000,Bestseller
Java Web Development Under The Hood,"What Java professionals need to know about servlets, sessions, cookies, JSP, JSTL, Ajax and websockets","Matt Greencroft, Virtual Pair Programmers",4.6,556,8 total hours,86,Intermediate,149000,-
React JS and Redux Bootcamp - Master React Web Development,"Learn React.js and Redux the right way. Dive into the React engine, create 5 apps, and become a React web developer.",David Joseph Katz,4.6,295,13 total hours,115,All Levels,149000,-
LEARNING PATH: Laravel: Complete Guide to Laravel,Grasp the power of Laravel to build modern applications,Packt Publishing,4.6,188,17 total hours,102,Beginner,149000,-
"MERN Stack React, Socket io, Next.js Express,MongoDb, Nodejs","Build a socialMedia with MERN- React, Nextjs, socket io for realTime chat & Notifications, Infinite Scroll & much more..",Inder Singh,4.6,211,13 total hours,99,All Levels,149000,-
Blazor - Rapid and Practical Course,Let's build a webshop in Blazor,Marco S. Junior,4.6,3,3.5 total hours,40,Beginner,149000,-
Vue JS Essentials with Vuex and Vue Router,"Have limited time to learn Vue, Vuex, and Vue Router? Take this course and learn Vue in 11 hours!",Stephen Grider,4.6,2282,10.5 total hours,140,Beginner,149000,-
Video Background Transparent Login Form-HTML CSS & BOOTSTRAP,Full screen video background transparent login & signup form using html css and bootstrap FROM SCRATCH | 2021,Abdul Qadeer,4.6,81,1 total hour,13,All Levels,149000,-
Responsive Web Design - Build RWD Websites (4 Live Projects),Build Responsive Web Design with Advanced HTML5 CSS3 & Bootstrap 5. Build 4 Live Projects with Step by Step Instructions,Fatah Gabrial,4.6,308,8 total hours,116,All Levels,149000,-
The Ultimate FrontEnd Web Development - 8+ Courses Included,Build The Most Creative Website Design using all the Modern Technologies - HTML 5 CSS3 Bootstrap 5 JavaScript & JQuery,Adil Ahmed,4.6,58,41.5 total hours,182,All Levels,149000,-
Learn the basics of React Hooks and create a Weather App,Get started with React's latest feature React Hooks and build a Weather App with React Hooks,Boldizsár Tömpe,4.6,16,2 total hours,20,Beginner,149000,-
PSD to HTML: Learn To Build Responsive Websites,Learn to convert your PSD files to responsive HTML in quick and easy steps,"Eduonix Learning Solutions, Eduonix-Tech .",4.6,7,7 total hours,43,Beginner,149000,-
"React JS, Angular & Vue JS - Quickstart & Comparison","Angular (Angular 2+), React or Vue? Get a Crash Course on each of them and a detailed comparison!","Maximilian Schwarzmüller, Academind by Maximilian Schwarzmüller",4.6,2549,8 total hours,144,Beginner,149000,-
Deploying web apps for new developers on AWS ec2,"A straight-forward approach for new developers, code school students, or anyone not familiar with deploying apps.",Robert Bunch,4.6,214,6 total hours,38,All Levels,149000,-
The Complete WordPress Theme Development Course,"Learn about WordPress Theme development including custom WordPress functions, page templates, tags, sidebars and more","Alexander Oni, Lab",4.6,764,12.5 total hours,157,Expert,149000,-
Complete WordPress website masterclass for beginners,Build a professional WordPress website from scratch - Masterclass for beginners to learn WordPress fundamentals,James Brookes,4.6,9,3 total hours,24,Beginner,149000,-
Reactive Angular Course (with RxJs),"Build Angular 12 Applications in Reactive style with plain RxJs - Patterns, Anti-Patterns, Lightweight State Management",Angular University,4.6,2669,5.5 total hours,41,All Levels,149000,-
Web Development w/ Google’s Go (golang) Programming Language,Learn Web Programming from a University Professor in Computer Science with over 15 years of teaching experience.,Todd McLeod,4.6,6140,19 total hours,171,Intermediate,149000,-
The Beginners Guide To Learning HTML/HTML5 the right way.,New to HTML? Don't Know Where To Start? Worry No more! I cover all the basics so you can stop thinking and start coding,Sarib Mujtaba,4.6,235,1 total hour,19,Beginner,429000,-
Full-Stack Web Development with Flask,Learn to create and deploy simple yet powerful websites using the Flask Framework,Packt Publishing,4.6,27,5 total hours,28,Beginner,149000,-
Adobe Muse CC Course - Design and Launch Websites,Design and build responsive websites without having to know code. Learn web design with Adobe Muse Creative Cloud.,"Chad Neuman, Ph.D.",4.6,251,4 total hours,46,Beginner,149000,Highest rated
All You Need To Know About AngularJS - Training On AngularJS,This course covers all the basics of how to get up and running with AngularJS. An InDepth training course.,Infinite Skills,4.6,119,5 total hours,53,All Levels,149000,-
Learn How to Build a News Website Using React JS,Create a News Feed Web App Using React,Mustafa Alawi,4.6,7,2.5 total hours,26,Beginner,1099000,-
Ultimate WordPress Plugin Course,"Learn how to Plan, Code and Publish WordPress Plugins in this step-by-step course by an Expert Developer","Code College, Joel Funk",4.6,1167,10.5 total hours,53,All Levels,149000,-
MERN React Node Next.js Multi User SEO Blogging Platform,Become an Ultimate Web Developer by building a Truly Real World SEO Web App using MERN Stack with React/Next.js for SSR,Ryan Dhungel,4.6,459,21 total hours,169,All Levels,149000,-
PHP Unit Testing with PHPUnit,"Unit test your PHP code using the PHPUnit testing framework: find bugs quickly and early, and improve your code quality.",Dave Hollingworth,4.6,1180,2.5 total hours,48,Intermediate,149000,Bestseller
Full Front-End Web Development Course,"Learn modern web development with HTML, CSS, Bootstrap, JavaScipt (JS) and practice with hands-on examples during course",Oak Academy,4.6,20,15 total hours,123,All Levels,149000,-
Jobboard: Ruby on Rails with Stripe System,Integration of Stripe Payment and PSI compliance,Roman Granskyy,4.6,5,2 total hours,25,Beginner,149000,-
Learn Visual Studio Code (2020),"Everything you need to know about Visual Studio Code, the most popular editor in Web Development!",James Quick,4.6,2371,4 total hours,41,Intermediate,149000,Bestseller
Create a Membership Site with Wishlist Member & Wordpress,Full membership site with an integrated forum. Membership management software using Wordpress and plugins.,Andrew Williams,4.6,112,2.5 total hours,28,All Levels,149000,Highest rated
Programming with JavaScript,"JavaScript is a powerful and versatile scripting language used in web applications, games, asynchronous coding, and more",Zak Ruvalcaba,4.6,96,21 total hours,163,All Levels,149000,-
"The React Developer Course with Hooks, Context API and Redux","Learn to build React apps using Hooks, Context API, Redux, React-Router, Koa Framework, Typescript and much more!",Uzochukwu Eddie Odozi,4.6,39,26 total hours,228,All Levels,149000,-
Node.js REST API with Express & MongoDB - Solid Architecture,"Build MVC Rest API with Node.js, Express & MongoDB. Secure REST API with JWT, document API with Swagger, Mongoose ODM",RapidDev Pro,4.6,201,3 total hours,29,All Levels,149000,-
How To Make A Website With Wordpress - Divi Theme,"Learn how to make a website step by step using the #1 Most popular theme in the world, the Divi Theme!",Darrel Wilson,4.6,298,3.5 total hours,22,Beginner,149000,-
Upgrade from JSP to Thymeleaf with SpringMVC and Spring Boot,"Replace Java Server Pages with Thymeleaf - the modern, design friendly, template engine, to build better Spring web apps","Matt Greencroft, Virtual Pair Programmers",4.7,195,4 total hours,52,Intermediate,149000,Highest rated
Top Python and Django Web Development Bundle!,Learn Python Programming and The Django Web Framework In One Awesome Bundle! Learn How To Build Websites Fast!,John Elder,4.6,379,11 total hours,145,Beginner,149000,-
REST WCF Service in ASP.NET,Learn how to build a RESTful WCF Service in an ASP.NET web application and call its methods with JQuery.,Patrick God,4.6,2156,41 total mins,5,All Levels,149000,-
How To Make A Digital Download Website With WordPress,Do You want to create your own digital download website with WordPress? I will show you how with NO EXPERIENCE!,Darrel Wilson,4.6,37,1 total hour,10,Beginner,149000,-
Next Amazona: Build ECommerce Website Like Amazon By Next.JS,Become a Senior Web Developer! Build a massive E-commerce app with NextJS and MongoDB,Bassir Jafarzadeh,4.6,44,10 total hours,49,All Levels,149000,Hot & new
Webpack 5: The Complete Guide For Beginners,"Learn Webpack 5 from the very basics to advanced! Use Webpack with JS, CSS, npm, Babel, Node",Viktor Pyskunov,4.6,2942,4.5 total hours,62,All Levels,149000,Bestseller
"Mastering Django - AJAX, Class Based Views, Forms","Master your skills as a Django developer by learning advanced techniques - Pipenv, Seed Data, External API, Auth Views",Nick Walter,4.6,526,5 total hours,38,All Levels,149000,-
Blazor - The Complete Guide (WASM & Server .NET Core 5),"Build real world resort booking website using Blazor Server, Blazor WASM and .NET 5(.NET Core) API and deploy to azure.","DotNet Mastery, Bhrugen Patel",4.6,873,15.5 total hours,225,Beginner,149000,Bestseller
AJAX in Action: Build AJAX-Based Applications,AJAX for Beginners! Develop AJAX Projects with JavaScript& jQuery Handle JSON&XML Build API-Based Applications with AJAX,Crypters Infotech,4.6,48,4.5 total hours,48,All Levels,149000,-
WordPress Speed Optimization (speed up your WordPress site),Optimize your WordPress website to load in less than 3s and increase the visitor retention and conversions.,Stanil Dobrev,4.6,41,1.5 total hours,18,All Levels,149000,Highest rated
"MERN Stack Front To Back: Full Stack React, Redux & Node.js","Build and deploy a social network with Node.js, Express, React, Redux & MongoDB. Fully updated April 2019",Brad Traversy,4.6,13586,12 total hours,73,Intermediate,149000,Bestseller
Headless WordPress REST API Authentication,Learn how to connect decoupled websites and applications with WordPress using JWT Auth and JavaScript,Zac Gordon,4.6,41,3 total hours,16,Intermediate,149000,-
MEAN project with Angular 4 (and 5) - Creating a CMS,"Learn how to build a MEAN app with Angular 4 (and 5), Node/Express, MongoDB and Bootstrap",Fast & Easy Programming,4.6,113,3 total hours,44,All Levels,149000,Highest rated
Build Modern MEAN Stack Web App,"Modern MEAN Stack web Application development with Node.js, Angular, Nestjs, MongoDB",Haider Malik,4.6,6,11.5 total hours,94,Beginner,149000,-
Learn USSD application development in PHP and MySQL(2021),Gain more knowledge in USSD application development from scratch in PHP and MySQL! The complete guide!,Alex Mureithi Njagi,4.6,30,4.5 total hours,18,Beginner,149000,-
Learn XML Crash Course: Discover Essential XML Fundamentals,Jump into the world of XML with this fast and immersive course.,Simon Sez IT,4.6,405,2 total hours,17,Intermediate,149000,Bestseller
Ethereum and Solidity: The Complete Developer's Guide,"Use Ethereum, Solidity, and Smart Contracts to build production-ready apps based on the blockchain",Stephen Grider,4.6,14862,24 total hours,269,All Levels,149000,Bestseller
HTML & CSS - Learn to build sleek websites,"Level up your coding skills and create beautiful, responsive and accessible websites. Easy, fun and effective",Sandra L,4.6,21,3.5 total hours,44,All Levels,149000,-
ASP.NET Core MVC - Up and Running Part 1 (.NET 5),Learn ASP.NET Core 5 with MVC and Entity Framework Core as we build real world Paving Company project with .NET 5,"DotNet Mastery, Bhrugen Patel",4.6,476,7 total hours,100,Beginner,149000,-
Node.js: The Complete Guide to Build RESTful APIs (2018),"Learn to build fast, scalable and secure RESTful services with Node, Express and MongoDB, from setup to production",Mosh Hamedani,4.6,10087,15 total hours,224,Intermediate,229000,-
Node.js Absolute Beginners Guide - Learn Node From Scratch,Learn Node.js To Build Web Sites and Host Them Live On Heroku Webhosting,John Elder,4.6,110,2 total hours,22,Beginner,149000,-
Complete guide to building an app with .Net Core and React,"The complete guide to building an app from start to finish using ASP.NET Core, React (with Typescript) and Mobx",Neil Cummings,4.6,4000,68.5 total hours,625,All Levels,149000,Bestseller
Python Django Dev To Deployment,Learn Python and build & deploy a real estate application using the Django framework & PostgreSQL,Brad Traversy,4.6,4775,11 total hours,70,Intermediate,149000,-
Dissecting Ruby on Rails 5 - Become a Professional Developer,"Don't simply follow a tutorial, learn what it really takes to become a pro Rails developer with this immersive course.",Jordan Hudgens,4.6,2906,43.5 total hours,247,All Levels,149000,-
Learn React and Redux by examples (Updated to React 16.12.0),"Your practical guide to build a mobile-ready web applications using React, Redux and React Router",Vinod Kumar Kayartaya,4.6,121,5.5 total hours,31,All Levels,149000,Highest rated
CSS - MASTERING ANIMATIONS,Make your web page alive with css animations & transitions and take your web design skills to the next level,Driss Boumlik,4.6,377,2 total hours,28,Beginner,149000,-
Django Masterclass : Build Web Apps With Python & Django,"Learn Django from scratch, build an E-commerce store, web based PDF generators, web crawlers, APIs using Python & Django",Ashutosh Pawar,4.6,752,18 total hours,153,All Levels,149000,-
*NEW* Advanced Forms - 2021 Build & Master Web forms,Master web forms. Complete. From HTML design to sending to servers. Crucial for all front end development. Novice to Pro,Clyde Matthew,4.6,33,21.5 total hours,245,All Levels,149000,Bestseller
Bootstrap - Create 4 Real World Projects,Bootstrap - Bootstrap with lots of CSS and JavaScript. CSS Flexbox included.,"Code And Create, George Lomidze, Lasha Nozadze",4.6,750,10 total hours,64,All Levels,149000,-
Laravel 8 - Advance Course Build School Management System,"In This Course, You Will Learn Laravel 8 Fundamentals With Project and Complete Advance School Management System Project","easy Learning, Kazi Ariyan",4.6,271,60 total hours,268,All Levels,149000,-
Chrome Extensions: Beginners Guide to Building & Publishing,Step-by-step guide for web developers of any skill level who want to build & publish their first Google Chrome Extension,David Sealey,4.6,74,1.5 total hours,22,Beginner,149000,-
"MEAN Stack E-Commerce App: Angular 12, NX, PrimeNg [2021]","Build Great E-Shop with Admin Panel using the latest technologies: Nodejs , Mongo, Angular 12, Nrwl NX Monorepo, PrimeNG","Fadi Nouh, Tiago Pereira",4.6,244,27 total hours,224,All Levels,149000,-
JavaScript Projects for JavaScript Beginners,Interactive Front-End Development for Beginners,Rob Merrill,4.6,336,7.5 total hours,76,Beginner,149000,-
Getting Started with Deno,Learn Deno pros and cons with this series while solving typical problems,Oleksandr Kocherhin,4.6,4,2 total hours,16,All Levels,149000,-
How to Use Custom Fields in Wordpress Theme Development,Learn how to utilize over 20 powerful custom field types in our comprehensive guide to the Advanced Custom Fields plugin,Balboa & Bedford,4.6,152,3.5 total hours,33,All Levels,149000,-
The Complete HTML & CSS Course - From Novice To Professional,In this Course Students will be able to learn a Complete HTML & CSS Course taking them From Novice To Professional,"Joe Parys, Shahzaib Kamal, Joe Parys Support",4.6,1510,7.5 total hours,84,All Levels,159000,-
Learn and Understand D3.js for Data Visualization,Dive deep under the hood of D3.js. Learn core concepts and build stunning data visualizations using D3 version 7,Luis Ramirez Jr,4.6,967,9 total hours,92,All Levels,149000,-
The Ultimate Hands-On Lightning Web Component,The most complete Salesforce LWC Development course brought to you by a Google Software Engineer.,Manish Choudhari,4.6,2510,17 total hours,113,All Levels,149000,Bestseller
Introduction to web programming for GIS applications,"Understanding web programming fundamentals focused on geospatial applications using Leaflet, Turf.js, and PostGIS",Michael Miller,4.6,1091,14.5 total hours,103,Beginner,149000,Bestseller
Angular - The Complete Guide (2021 Edition),"Master Angular 12 (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",Maximilian Schwarzmüller,4.6,150920,34 total hours,461,All Levels,149000,Bestseller
Angular Universal In Depth,"Learn Angular Universal (Angular 12), optimize your application performance, optimize it for SEO and Social Media",Angular University,4.6,313,4.5 total hours,32,All Levels,149000,-
The Complete 2020 Fullstack Web Developer Course,"Learn HTML5, CSS3, JavaScript, Python, Wagtail CMS, PHP & MySQL from scratch!",Kalob Taulien,4.6,5305,67 total hours,695,All Levels,149000,-
Vue 3 and Django: A Practical Guide with Docker,"Django 3.1, Vue 3, Docker, Typescript, Vuex, Authentication and Authorisation, Upload Images, Export CSV, c3.js",Antonio Papa,4.6,28,6 total hours,69,All Levels,149000,-
Learn JavaScript from Scratch: The Ultimate Beginners Course,Learn modern JavaScript programming fundamentals with practical hands training.,"Juan E. Galvan, Pace Ellsworth",4.6,34,6.5 total hours,61,All Levels,149000,New
Sharepoint 2013 Development,Sharepoint 2013 Development - complete guide,Sandeep Soni,4.6,49,26.5 total hours,63,Beginner,159000,Highest rated
"Build Realtime Apps | React Js, Golang & RethinkDB","A practical guide that teaches you ReactJs, Golang & RethinkDB. Optimally paced, no-nonsense. You'll learn quickly!",James Moore,4.6,1032,3 total hours,48,All Levels,149000,Bestseller
Flask Ultimate Course Build 4 Real World Projects,"Learn Flask and backend by creating : Url Shortener, image editing service , Limited Api, Bitcoin Wallet Service",Code Mode,4.6,2,7.5 total hours,56,Beginner,149000,-
Web Application with React JS and Redux,"Learn modern web application with ReactJS and Redux. Master React Router, React Portals, Redux and create React app!","Oak Academy, Uğur PEHLİVAN",4.6,5,9.5 total hours,83,All Levels,149000,-
Angular Security Masterclass (with FREE E-Book),Practical Guide to Angular Security - Add Authentication / Authorization (from scratch) to an Angular / Node App,Angular University,4.6,874,8 total hours,75,All Levels,149000,Bestseller
Responsive Web Development with HTML5 & CSS3 For Beginners,Build More Than Six(6) Real World Projects and Also Learn How To Host Your Website On Github!,Robert Nana Sarpong,4.6,59,7.5 total hours,38,All Levels,149000,-
Wordpress Plugin Development with JQuery (2021),How to code a plugin for Wordpress with jQuery,Guillaume Duhan,4.6,24,1 total hour,9,Beginner,149000,-
Build an app with ASPNET Core and Angular from scratch,A practical example of how to build an application with ASP.NET Core API (.Net 5.0) and Angular 10 from start to finish,Neil Cummings,4.6,16369,28.5 total hours,259,Beginner,149000,Bestseller
Build Ecommerce Website Like Amazon [React & Node & MongoDB],"Become a Senior Web Developer! Build a massive E-commerce app with React, Redux, Node, Express, MongoDB, Mongoose",Bassir Jafarzadeh,4.6,751,17.5 total hours,70,All Levels,149000,-
Angular interview questions with answers,Angular interview questions with answers,Shivprasad Koirala,4.6,505,2.5 total hours,8,Beginner,149000,-
So you think you know JavaScript?,What every intermediate and advanced developer needs to know!,"3D BUZZ Programming and Digital Art training, Nelson LaQuet",4.6,290,6 total hours,25,All Levels,149000,-
Django Crash Course,"Learn Django from scratch and get familiar with REST APIs, the Django Rest Framework, GraphQL APIs, Graphene & more!","Mihai Catalin Teodosiu, EpicPython Academy",4.6,34,7.5 total hours,72,Beginner,149000,-
Create a Business or Personal Website with Wordpress,Learn to Build a WordPress Website from Scratch on your Local computer or a Shared Hosting Sever without Code.,Bluelime Learning Solutions,4.6,101,3.5 total hours,33,Beginner,149000,-
Become a Front End Web Developer - JavaScript for Beginners,"Best JavaScript course for beginners with step by step instructions. Learn basics, ES6, DOM and AJAX with mini project.",Chandrasekaran Janardhanan,4.6,140,15.5 total hours,331,Beginner,149000,-
HTML5 and CSS3 - Essential Training,Learn HTML5 / CSS3 and how to incorporate markup to build standards-compliant and forward-thinking responsive web sites.,Zak Ruvalcaba,4.6,242,18.5 total hours,143,All Levels,149000,-
GraphQL by Example,"Learn GraphQL by writing full-stack JavaScript applications with Node.js, Express, Apollo Server, React, Apollo Client.",Mirko Nasato,4.6,1654,5.5 total hours,55,Intermediate,149000,-
"Make A Responsive Website Project #2: HTML, CSS & Javascript","Create A Responsive, Holiday Themed Website using HTML, CSS, Bootstrap, Animate.css, Javascript, JQuery and Snowstorm.js",Eric Tam,4.6,87,4.5 total hours,56,Intermediate,149000,-
Drupal For Absolute Beginners (2021),The Most Comprehensive Course To Start Learning Latest And Greatest Drupal From Scratch,Shubham Saurav,4.6,161,1.5 total hours,20,All Levels,199000,-
Bullet proof php for beginners - Code like a pro,Learn good programming practices and spend less time debugging,Julien Khong,4.6,9,8.5 total hours,74,Beginner,149000,-
WebRTC 2021 Practical Course. Create Video Chat Application,Learn WebRTC by creating Meet the Strangers app (Omegle clone with direct calls possibility) with vanilla JavaScript,Marek Gryszkiewicz,4.6,50,8.5 total hours,82,Beginner,149000,Bestseller
Next.JS with Sanity CMS - Serverless Blog App (w/ Vercel),"Build your own Blog App with the latest Next.JS & React(Next 9.4+, React hooks). Learn how to use headless Sanity CMS.","Eincode by Filip Jerga, Filip Jerga",4.6,153,13 total hours,82,All Levels,149000,-
Python Django Web Development of NLP App,Django Web Development with Python and Spacy,Zlatko Lazarevski,4.6,7,2 total hours,13,Beginner,149000,-
"Become a Certified HTML, CSS, JavaScript Web Developer","Complete coverage of HTML, CSS, Javascript while you Earn Four Respected Certifications","Framework Tech Media, Mark Lassoff",4.6,2287,46 total hours,523,All Levels,149000,-
Django Ecommerce | Build Advanced Django Web Application,"Build Django eCommerce website with a lot of advanced custom functionalities, RDS Postgres and deploy it on Amazon AWS",Rathan Kumar,4.6,337,20.5 total hours,129,All Levels,149000,-
Build a Google Meet Clone from Scratch: WebRTC & Socket io,"Learn webrtc and build a website like google meet from scratch using WebRTC, socket io & Javascript.",Km Habib,4.6,22,8.5 total hours,56,All Levels,149000,Hot & new
Google Fonts - Basics,Everything you need to know about Google Fonts - Basics,Learn Tech Plus,4.6,48,41 total mins,15,All Levels,149000,-
Angular 10 hands on for Java Developers,Expand your Java skills to become a full-stack developer with the Angular web framework,"Matt Greencroft, Virtual Pair Programmers",4.6,317,18.5 total hours,216,Intermediate,149000,-
JavaScript - The complete guide in 2021,"Learn JavaScript from scratch with examples, tips, modern challenges and more - Part I",Nico @softcademy,4.6,8,4.5 total hours,46,All Levels,149000,New
Complete Portfolio Website Step-by-Step [ Web Development ],"Responsive Portfolio Website Using [ Html , Css , JavaScript ] Works on Desktop, Laptop , Tablets , Mobiles , Smart TV's",B Praveen Kumar,4.6,151,3 total hours,26,All Levels,149000,-
Build a Photo Blog with Ruby on Rails,Learn how to build a robust Ruby on Rails photo uploading and management application in this project based course.,Jordan Hudgens,4.6,57,1.5 total hours,21,Intermediate,149000,-
"Laravel Payment Integration with Braintree, Stripe & PayPal","Advanced payment integration of Braintree, Stripe and PayPal Express using Laravel 8.",Mark Lengyel,4.6,18,11 total hours,77,Intermediate,149000,-
